DateTime;MQMAXP6 
16/02/2005; 100,00 
17/02/2005; 99,74 
18/02/2005; 99,74 
22/02/2005; 99,51 
23/02/2005; 99,83 
24/02/2005; 99,86 
25/02/2005; 100,32 
28/02/2005; 99,64 
01/03/2005; 99,63 
02/03/2005; 99,70 
03/03/2005; 99,60 
04/03/2005; 100,69 
07/03/2005; 100,97 
08/03/2005; 101,04 
09/03/2005; 100,25 
10/03/2005; 100,29 
11/03/2005; 99,99 
14/03/2005; 100,01 
15/03/2005; 99,69 
16/03/2005; 99,81 
17/03/2005; 99,76 
18/03/2005; 99,57 
21/03/2005; 98,71 
22/03/2005; 97,56 
23/03/2005; 97,25 
24/03/2005; 97,42 
28/03/2005; 97,30 
29/03/2005; 97,25 
30/03/2005; 97,89 
31/03/2005; 98,34 
01/04/2005; 98,13 
04/04/2005; 98,07 
05/04/2005; 98,10 
06/04/2005; 98,33 
07/04/2005; 98,24 
08/04/2005; 98,04 
11/04/2005; 98,25 
12/04/2005; 98,76 
13/04/2005; 98,37 
14/04/2005; 97,61 
15/04/2005; 97,58 
18/04/2005; 97,83 
19/04/2005; 98,79 
20/04/2005; 98,60 
21/04/2005; 98,55 
22/04/2005; 98,91 
25/04/2005; 98,99 
26/04/2005; 98,74 
27/04/2005; 98,51 
28/04/2005; 98,46 
29/04/2005; 98,85 
02/05/2005; 98,56 
03/05/2005; 98,47 
04/05/2005; 98,63 
05/05/2005; 98,68 
06/05/2005; 98,05 
09/05/2005; 98,24 
10/05/2005; 98,23 
11/05/2005; 98,48 
12/05/2005; 97,70 
13/05/2005; 97,47 
16/05/2005; 97,60 
17/05/2005; 97,89 
18/05/2005; 98,20 
19/05/2005; 98,17 
20/05/2005; 98,10 
23/05/2005; 98,27 
24/05/2005; 98,52 
25/05/2005; 98,34 
26/05/2005; 98,07 
27/05/2005; 98,48 
31/05/2005; 98,34 
01/06/2005; 99,07 
02/06/2005; 99,48 
03/06/2005; 99,19 
06/06/2005; 99,40 
07/06/2005; 99,43 
08/06/2005; 99,15 
09/06/2005; 99,20 
10/06/2005; 99,04 
13/06/2005; 99,07 
14/06/2005; 98,85 
15/06/2005; 99,07 
16/06/2005; 100,11 
17/06/2005; 100,41 
20/06/2005; 100,42 
21/06/2005; 100,62 
22/06/2005; 100,79 
23/06/2005; 100,51 
24/06/2005; 100,21 
27/06/2005; 100,44 
28/06/2005; 100,18 
29/06/2005; 100,03 
30/06/2005; 99,97 
01/07/2005; 98,73 
05/07/2005; 98,18 
06/07/2005; 97,95 
07/07/2005; 98,21 
08/07/2005; 98,25 
11/07/2005; 98,77 
12/07/2005; 98,80 
13/07/2005; 98,44 
14/07/2005; 97,76 
15/07/2005; 97,74 
18/07/2005; 97,31 
19/07/2005; 97,69 
20/07/2005; 98,25 
21/07/2005; 97,92 
22/07/2005; 98,39 
25/07/2005; 98,11 
26/07/2005; 97,99 
27/07/2005; 98,25 
28/07/2005; 98,88 
29/07/2005; 98,47 
01/08/2005; 98,43 
02/08/2005; 98,54 
03/08/2005; 99,21 
04/08/2005; 99,02 
05/08/2005; 98,38 
08/08/2005; 98,08 
09/08/2005; 98,22 
10/08/2005; 98,38 
11/08/2005; 99,42 
12/08/2005; 99,47 
15/08/2005; 99,45 
16/08/2005; 99,39 
17/08/2005; 98,88 
18/08/2005; 99,00 
19/08/2005; 99,05 
22/08/2005; 98,98 
23/08/2005; 99,12 
24/08/2005; 98,77 
25/08/2005; 99,10 
26/08/2005; 98,72 
29/08/2005; 99,05 
30/08/2005; 98,83 
31/08/2005; 99,93 
01/09/2005; 100,58 
02/09/2005; 100,55 
06/09/2005; 100,54 
07/09/2005; 100,53 
08/09/2005; 100,67 
09/09/2005; 101,24 
12/09/2005; 100,93 
13/09/2005; 100,78 
14/09/2005; 100,85 
15/09/2005; 100,98 
16/09/2005; 101,30 
19/09/2005; 101,64 
20/09/2005; 101,12 
21/09/2005; 101,65 
22/09/2005; 101,37 
23/09/2005; 101,01 
26/09/2005; 101,00 
27/09/2005; 100,94 
28/09/2005; 101,55 
29/09/2005; 101,97 
30/09/2005; 101,76 
03/10/2005; 100,89 
04/10/2005; 100,39 
05/10/2005; 99,84 
06/10/2005; 99,98 
07/10/2005; 100,24 
10/10/2005; 100,02 
11/10/2005; 99,76 
12/10/2005; 98,97 
13/10/2005; 99,00 
14/10/2005; 99,32 
17/10/2005; 99,75 
18/10/2005; 99,33 
19/10/2005; 99,49 
20/10/2005; 98,77 
21/10/2005; 99,38 
24/10/2005; 99,30 
25/10/2005; 99,19 
26/10/2005; 98,84 
27/10/2005; 98,99 
28/10/2005; 99,32 
31/10/2005; 99,10 
01/11/2005; 98,68 
02/11/2005; 99,00 
03/11/2005; 98,89 
